VariableName,Description,SurveyQuestion,Href
mentlhos,x should check into a mental hospital,Should NAME do any of the following: J. Check into a mental hospital.,/variables/2020/vshow
mentlill,how likely x is experiencing mental illness,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) C. A mental illness",/variables/1996/vshow
mentloth,x should go to other mental health professional for help,"Should NAME do any of the following: E. Go to a therapist, or counselor, like a psychologist, social worker, or other mental health professional for help",/variables/2015/vshow
meovrwrk,men hurt family when focus on work too much,"And, do you agree or disagree . . . C. Family life often suffers because men concentrate too much on their work.",/variables/4404/vshow
mhunsure,people like x are unpredictable,"For the next several questions, please tell me whether you strongly agree, agree, disagree, or strongly disagree with the statement. E. People like [NAME] are unpredictable.",/variables/3766/vshow
misswork,miss work for health past 30 days,"During the past 30 days, about how many days did you miss work due to your mental or physical health?",/variables/2849/vshow
mntlhlth,days of poor mental health past 30 days,"B. Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",/variables/2828/vshow
mobile16,geographic mobility since age 16,"In what state or foreign country were you living when you were 16 years old? REFER TO REGION CODES BELOW AND ENTER CODE NUMBERS IN BOX. A. When you were 16 years old, were you living in this same (city/town/county)?",/variables/85/vshow
moredays,days per month r work extra hours,How many days per month do you work extra hours beyond your usual schedule?,/variables/2764/vshow
mustdoc,x should be forced to be examined at a clinic by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... A. Get treatment at a clinic or from a doctor.,/variables/2031/vshow
musthosp,x should be admitted to be hospitalized for treatment by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... C. Be admitted to a hospital for treatment.,/variables/2033/vshow
mustmed,x should be forced to take prescribed medication by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... B. Take a prescription medication to control his/her behavior.,/variables/2032/vshow
mustwork,mandatory to work extra hours,"When you work extra hours on your main job, is it mandatory (required by your employer)?",/variables/2765/vshow
nataid,foreign aid,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? J. Foreign aid",/variables/190/vshow
nataidy,assistance to other countries:ver y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? J. Assistance to other countries",/variables/208/vshow
natarms,"military, armaments, and defense","We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? I. The military, armaments and defense",/variables/189/vshow
natarmsy,national defense:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? I. National defense",/variables/207/vshow
natchld,assistance for childcare,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? P. Assistance for childcare",/variables/196/vshow
natcity,solving problems of big cities,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? D. Solving the problems of the big cities",/variables/184/vshow
natcityy,assistance to big cities:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? D. Assistance to big cities",/variables/202/vshow
natcrime,halting rising crime rate,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? E. Halting the rising crime rate",/variables/185/vshow
natcrimy,law enforcement:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? E. Law enforcement",/variables/203/vshow
natdrug,dealing with drug addiction,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? F. Dealing with drug addiction",/variables/186/vshow
natdrugy,drug rehabilitation:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? F. Drug rehabilitation",/variables/204/vshow
nateduc,improving nations education system,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? G. Improving the nation's education system",/variables/187/vshow
nateducy,education:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? G. Education",/variables/205/vshow
natenrgy,developing alternative energy sources,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? R. Developing alternative energy sources",/variables/198/vshow
natenvir,improving & protecting environment,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? B. Improving and protecting the environment",/variables/182/vshow
natenviy,the environment:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? B. The environment",/variables/200/vshow
natfare,welfare,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? K. Welfare",/variables/191/vshow
natfarey,assistance to the poor:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? K. Assistance to the poor",/variables/209/vshow
natheal,improving & protecting nations health,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? C. Improving and protecting the nation's health",/variables/183/vshow
nathealy,health:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? C. Health",/variables/201/vshow
natmass,mass transportation,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? N. Mass Transportation",/variables/194/vshow
natpark,parks and recreation,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? O. Parks and recreation",/variables/195/vshow
natrace,Improving the conditions of Black people,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)?H. Improving the conditions of Black people.",/variables/188/vshow
natracey,Assistance to Black people: version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)?H. Assistance to Black people.",/variables/206/vshow
natroad,highways and bridges,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? L. Highways and bridges",/variables/192/vshow
natsci,supporting scientific research,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? Q. Supporting scientific research",/variables/197/vshow
natsoc,social security,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? M. Social Security",/variables/193/vshow
natspac,space exploration program,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? A. Space exploration program",/variables/181/vshow
natspacy,space exploration:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? A. Space exploration",/variables/199/vshow
news,how often does r read newspaper,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or never?",/variables/690/vshow
nextgen,science & tech. give more opportunities to next generation,"I’m going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. A. Because of science and technology, there will be more opportunities for the next generation.",/variables/3317/vshow
nobuygrn,how often avoid products,K3. And how often do you avoid buying certain products for environmental reasons?,/variables/4815/vshow
numemps,number of employee for the self-employed,"Are/were you self-employed or do/did you work for someone else? [If ""Self-employed""] Do/did you have any employees? [If ""Yes""] How many employees do/did you have? As of 2024, NUMEMPS has been recoded to ranges of employees. This has been retroactively applied to all previous years of NUMEMPS. The original NUMEMPS containing data from 2004 to 2022 has been renamed NUMEMPS_0422.",/variables/3014/vshow
numkids,what is ideal number of kids for family,"All in all, what do you think is the ideal number of children for a family to have? Please just write a number in the box below.",/variables/4374/vshow
nummen,number of male sex partner's since 18,Now thinking about the time since your 18th birthday (including the past 12 months) how many male partners have you had sex with?,/variables/5061/vshow
numwomen,number of female sex partner's since 18,Now thinking about the time since your 18th birthday (including the past 12 months) how many female partners have you had sex with?,/variables/5060/vshow
obey,to obey,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 1. To obey",/variables/513/vshow
occ10,r's census occupation code (2010),"Respondent's Occupation, Prestige, and Industry",/variables/16/vshow
old1,age of 1st person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of first person",/variables/5334/vshow
old10,age of 1oth person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of tenth person",/variables/5388/vshow
old11,age of 11th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of eleventh person",/variables/5394/vshow
old12,age of 12th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of twelfth person",/variables/5400/vshow
old13,age of 13th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of thirteenth person",/variables/5406/vshow
old14,age of 14th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fourteenth person",/variables/5412/vshow
old2,age of 2nd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of second person",/variables/5340/vshow
old3,age of 3rd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of third person",/variables/5346/vshow
old4,age of 4th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fourth person",/variables/5352/vshow
old5,age of 5th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fifth person",/variables/5358/vshow
old6,age of 6th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of sixth person",/variables/5364/vshow
old7,age of 7th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of seventh person",/variables/5370/vshow
old8,age of 8th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of eighth person",/variables/5376/vshow
old9,age of 9th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of ninth person",/variables/5382/vshow
opclout,need political connections to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . H. Having political connections?,/variables/4248/vshow
opeduc,need good education to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . C. Having a good education yourself?,/variables/4243/vshow
ophrdwrk,need to work hard to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . F. Hard work -- how important is that for getting ahead in life?,/variables/4246/vshow
opknow,need to know right people to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . G. Knowing the right people?,/variables/4247/vshow
oppared,need educated parents to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . B. Having well educated parents?,/variables/4242/vshow
oprace,need to be right race to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . I. A person''s race -- how important is that?,/variables/4249/vshow
oprelig,need to be right religion to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . J. A person''s religion?,/variables/4250/vshow
opsex,need to be right sex to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . L. Being born a man or a woman -- how important is that for getting ahead in life?,/variables/4252/vshow
opwlth,need wealthy family to get ahead,"Please show for each of these how important you think it is for getting ahead in life . . . A. First, how important is coming from a wealthy family?",/variables/4241/vshow
otcmed,x should take non-prescription medication,"Should NAME do any of the following: H. Take non-prescription medication, like over the counter sleeping pills.",/variables/2018/vshow
oth16,other protestant denominations,"A. What specific denomination is that, if any?",/variables/343/vshow
other,other protestant denominations,"A. What specific denomination is that, if any?",/variables/289/vshow
