Variable,Description,SurveyQuestion
old12,age of 12th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of twelfth person"
old13,age of 13th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of thirteenth person"
old14,age of 14th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fourteenth person"
old2,age of 2nd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of second person"
old3,age of 3rd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of third person"
old4,age of 4th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fourth person"
old5,age of 5th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of fifth person"
old6,age of 6th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of sixth person"
old7,age of 7th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of seventh person"
old8,age of 8th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of eighth person"
old9,age of 9th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 3. Age of ninth person"
opclout,need political connections to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . H. Having political connections?
opeduc,need good education to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . C. Having a good education yourself?
ophrdwrk,need to work hard to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . F. Hard work -- how important is that for getting ahead in life?
opknow,need to know right people to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . G. Knowing the right people?
oppared,need educated parents to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . B. Having well educated parents?
oprace,need to be right race to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . I. A person''s race -- how important is that?
oprelig,need to be right religion to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . J. A person''s religion?
opsex,need to be right sex to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . L. Being born a man or a woman -- how important is that for getting ahead in life?
opwlth,need wealthy family to get ahead,"Please show for each of these how important you think it is for getting ahead in life . . . A. First, how important is coming from a wealthy family?"
otcmed,x should take non-prescription medication,"Should NAME do any of the following: H. Take non-prescription medication, like over the counter sleeping pills."
oth16,other protestant denominations,"A. What specific denomination is that, if any?"
other,other protestant denominations,"A. What specific denomination is that, if any?"
othersex,r had sex with some other last year,"If you had other partners, please indicate all categories that apply to them. E. Other (PLEASE SPECIFY)"
othlang,can r speak language other than english/spanish,A. Can you speak a language other than English [Spanish]?
othlang1,what other languages does r speak,"What other language(s) do you speak? First response. As of 2024, OTHLANG1 has been recoded to only account for seven categories. This has been retroactively applied to all previous years of OTHLANG1. The original OTHLANG1 containing data from 2000 to 2022 has been renamed OTHLANG1_0022."
othlang2,what other languages does r speak,"What other language(s) do you speak? Second response. As of 2024, OTHLANG2 has been recoded to only account for seven language categories. This has been retroactively applied to all previous years of OTHLANG2. The original OTHLANG2 containing data from 2000 to 2022 has been renamed OTHLANG2_0022."
othmhneg,r's other acquaintences negative attitudes about mh problems,"Thinking about other people you know personally outside of your family, to what extent do they hold negative attitudes about people with mental health problems?"
othssame,no saving environment unless others do same,How much do you agree or disagree with each of these statements? B. There is no point in doing what I can for the environment unless others do the same.
owngun,have gun in home,Do you happen to have in your home (IF HOUSE: or garage) any guns or revolvers?
padeg,Father's (or oldest same-sex parent's) highest degree,RESPONDENT'S FATHER'S (SUBSTITUTE FATHER'S) DEGREE
paeduc,"Highest year school completed, father (or oldest same-sex parent)",RESPONDENT'S FATHER'S (FATHER SUBSTITUTE'S) EDUCATION
paidlv,paid leave for childcare,"Consider a couple who both work full-time and now have a new born child. One of them stops working for some time to care for their child. Do you think there should be paid leave available and, if so, for how long?"
paidlvdv,mother or father paid leave,"Still thinking about the same couple, if both are in a similar work situation and are eligible for paid leave, how should this paid leave period be divided between the mother and the father?"
paidsex,r had sex for pay last year,"If you had other partners, please indicate all categories that apply to them. D. Person you paid or paid you for sex"
painarms,r had pain in the arms in the past 12 months,"B. In the past 12 months, have you had pain in the hands, wrists, arms, or shoulders every day for a week or more?"
paind10,father's industry code (naics 2007),"Father's Occupation, Prestige, and Industry"
paocc10,father's census occupation code (2010),"Father's Occupation, Prestige, and Industry"
parborn,were r's parents born in this country,"Were both your parents born in this country? (IF THE RESPONDENT IS UNCERTAIN OF PARENT, USE SAME PERSONS AS IN PAOCC16 to PAIND16, PAEDUC, MAEDUC, PADEG, AND MADEG.)"
parsol,r's living standard compared to parents,"A. Compared to your parents when they were the age you are now, Do you think your own standard of living now is much better, somewhat better, about the same, somewhat worse, or much worse than theirs was?"
partfull,was r's work part-time or full-time?,"Now I'd like to ask you about last year. In [the previous year] how many weeks did you work either full-time or part-time not counting work around the house--include paid vacations and sick leave? A. When you worked in [the previous year], was it usually full or part time?"
partners,how many sex partner's r had in last year,"How many sex partners have you had in the last 12 months? As of 2024, PARTNERS has been recoded to only account for 0 to 11+ partners and has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information.The original PARTNERS containing data from 1988 to 2022 has been renamed PARTNERS_8822."
partnrs5,how many sex partner's r had in last 5 years,"Now think about the past five years--the time since February/March [1999], and including the past 12 months, how many sex partners have you had in that five year period?"
partyid,political party affiliation,"Generally speaking, do you usually think of yourself as a Republican, Democrat, Independent, or what?"
pawrkslf,Father (or oldest same-sex parent) self-emp. or worked for somebody,"A. What kind of work did your father (FATHER SUBSTITUTE) normally do while you were growing up? That is, what was his job called? B. What did he actually do in that job? Tell me, what were some of his main duties? C. What kind of place did he work for? D. What did they (make/do)? E. Was he self-employed or did he work for someone else?"
paycabnt,how much r thinks cabinet member makes,"We would like to know what you think people in these jobs actually earn. Please write in how much you think they usually earn, each year, before taxes. Many people are not exactly sure about this but your best guess will be close enough. This may be difficult, but it is very important. So please try. nPlease write in how much they actually earn each year. K. A member of the cabinet in the federal government?"
paychild,how much pay dependent on children,"In deciding how much people ought to earn, how important should each of these things be, in your opinion: E. Whether the person has children to support (how important should that be in deciding pay)?"
payclerk,how much r thinks bank clerk makes,"We would like to know what you think people in these jobs actually earn. Please write in how much you think they usually earn, each year, before taxes. Many people are not exactly sure about this but your best guess will be close enough. This may be difficult, but it is very important. So please try. nPlease write in how much they actually earn each year. C. A bank clerk?"
paydoc,how much r thinks doctor makes,"We would like to know what you think people in these jobs actually earn. Please write in how much you think they usually earn, each year, before taxes. Many people are not exactly sure about this but your best guess will be close enough. This may be difficult, but it is very important. So please try. Please write in how much they actually earn each year. B. A doctor in general practice?"
paydowel,how much pay dependent on work well done,"In deciding how much people ought to earn, how important should each of these things be, in your opinion: F. How well he or she does the job (how important should that be)?"
payedtrn,how much pay dependent on educ and training,"In deciding how much people ought to earn, how important should each of these things be, in your opinion: B. The number of year spent in education and training?"
payexec,how much r thinks corporate head makes,"We would like to know what you think people in these jobs actually earn. Please write in how much you think they usually earn, each year, before taxes. Many people are not exactly sure about this but your best guess will be close enough. This may be difficult, but it is very important. So please try. nPlease write in how much they actually earn each year. E. The chairman of a large national corporation?"
payresp,how much pay dependent on responsibility,"In deciding how much people ought to earn, how important should each of these things be, in your opinion: A How much responsibility goes with the job—how important do you think that ought to be in deciding pay?"
payunskl,how much r thinks unskilled wrkr makes,"We would like to know what you think people in these jobs actually earn. Please write in how much you think they usually earn, each year, before taxes. Many people are not exactly sure about this but your best guess will be close enough. This may be difficult, but it is very important. So please try. nPlease write in how much they actually earn each year. J. An unskilled worker in a factory?"
peopgrn,how get people to protect environment,J. Which of these approaches do you think would be the best way of getting people and their families in America to protect the environment?
phone,does r have telephone,"Thank you very much for your time and help. Do you have a telephone? May I have your name and (one of your) telephone number(s) just in case I have left something out in this interview? ENTER NAME AND PHONE NUMBER. IF NO PHONE OR REFUSED, CIRCLE APPROPRIATE CODE NUMBER."
phyeffrt,rate physical effort,A. Please rate the overall physical effort at the job you normally Do.
physhlth,days of poor physical health past 30 days,"A. Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?"
physill,how likely x is experiencing physical illness,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) D. A physical illness"
pikupsex,r had sex with casual date last year,"If you had other partners, please indicate all categories that apply to them. C. Casual date or pick-up"
pillok,birth control to teenagers 14-16,"C. Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?"
pistol,pistol or revolver in home,"Do you happen to have in your home (IF HOUSE: or garage) any guns or revolvers? A. IF YES: Is it a pistol, shotgun, rifle, or what? CODE ALL THAT APPLY. [Coded if Pistol]"
polabuse,citizen said vulgar or obscene things,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? A. Had said vulgar and obscene things to the policeman?
polattak,citizen attacking policeman with fists,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? D. Was attacking the policeman with his fists?
polescap,citizen attempting to escape custody,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? C. Was attempting to escape from custody?
polhitok,ever approve of police striking citizen,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?
polmurdr,citizen questioned as murder suspect,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? B. Was being questioned as a suspect in a murder case?
polviews,think of self as liberal or conservative,A. We hear a lot of talk these days about liberals and conservatives. I'm going to show you a seven-point scale on which the political views that people might hold are arranged from extremely liberal--point 1--to extremely conservative--point 7. Where would you place yourself on this scale?
popespks,pope is infallible on matter's of faith or morals,"We are interested in what American Catholics think about religious matters. please select the answer from this card that comes closest to your own personal opinion about the following statement: Under certain conditions, the pope is infallible when he speaks on matters of faith and morals."
popular,to be well liked or popular,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 2. To be well-liked or popular"
pornlaw,feelings about pornography laws,Which of these statements comes closest to your feelings about pornography laws? READ FIRST THREE CATEGORIES ONLY. CIRCLE ONLY ONE CODE.
posslq,does r have marital partner,Which of these statements applies to you? CODE ONE ONLY. A. I am married and living in the same household as my husband or wife. B. I am living as married and my partner and I together live in the same household. C. I have a husband or wife or steady partner but we don''t live in the same household. D. I don''t have a steady partner.
posslqy,relationship status and cohabitation or not,Which of these statements applies to you? CODE ONE ONLY.
postlife,belief in life after death,Do you believe there is a life after death?
postmat1,highest priority for america,"A. Looking at the list below, please check a box next to the one thing you think should be America''s highest priority, the most important thing it should do. America should…"
postmat2,2nd highest priority for america,"B. And which one do you think should be America''s next highest priority, the second most important thing it should do? America should…"
powrorgs,intl orgs take away much power from american govt,"How much do you agree or disagree with the following statements? (Please, select one response) D. International organizations are taking away too much power from the American government."
pray,how often does r pray,About how often do you pray? USE CATEGORIES AS PROBES.
prayer,bible prayer in public schools,A. The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?
premarsx,sex before marriage,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
preteen,household members 6 thru 12 yrs old,"Household Size and Composition (see Appendix D: Recodes, for information about these variables). B. NUMBER OF MEMBERS 6 TO 12 YEARS OLD: As of 2024, PRETEEN has been recoded to only account for 0 to 2+ children ages 6 to 12 in the household. This has been retroactively applied to all previous years of PRETEEN. The original PRETEEN containing data from 1972 to 2022 has been renamed PRETEEN_7222."
privent,private enterprise will solve u.s. problems,How much do you agree or disagree with each of these statements? Private enterprise is the best way to solve America''s economic problems.
racdif1,differences due to discrimination,"On the average Black people have worse jobs, income, and housing than white people. Do you think these differences are . . . A. Mainly due to discrimination?"
racdif2,differences due to in-born learning ability,"On the average Black people have worse jobs, income, and housing than white people. Do you think these differences are . . . B. Because most Black people have less in-born ability to learn?"
racdif3,differences due to lack of education,"On the average Black people have worse jobs, income, and housing than white people.Do you think these differences are . . .C. Because most Black people don't have the chance for education that it takes to rise out of poverty?"
racdif4,differences due to lack of will,"On the average Black people have worse jobs, income, and housing than white people.Do you think these differences are . . .D. Because most Black people just don't have the motivation or will power to pull themselves up out of poverty?"
race,race of respondent,CODE WITHOUT ASKING ONLY IF THERE IS NO DOUBT IN YOUR MIND. What race do you consider yourself? RECORD VERBATIM AND CODE.
raceacs1,white,What is your race? Indicate one or more races that you consider yourself to be. White
raceacs10,other asian,What is your race? Indicate one or more races that you consider yourself to be. Other Asian
raceacs11,native hawaiian,"What is your race? Indicate one or more races that you consider yourself to be. Native Hawaiian As of 2024, RACEACS11 has been recoded into RACEACS14 as ""Other Pacific Islander""."
raceacs12,guamanian or chamorro,"What is your race? Indicate one or more races that you consider yourself to be. Guamanian or Chamorro As of 2024, RACEACS12 has been recoded into RACEACS14 as ""Other Pacific Islander."""
raceacs13,samoan,"What is your race? Indicate one or more races that you consider yourself to be. Samoan As of 2024, RACEACS13 has been recoded into RACEACS14 as ""Other Pacific Islander."""
raceacs14,other pacific islander,"What is your race? Indicate one or more races that you consider yourself to be. Other Pacific Islander As of 2024, RACEACS14 has been recoded to include RACEACS11 (Native Hawaiian), RACEACS12 (Guamanian or Chamorro), and RACEACS13 (Samoan). This has been retroactively applied to all previous years of RACEACS14. The original RACEACS14 containing data from 2021 to 2022 has been renamed RACEACS14_2122."
raceacs16,hispanic,What is your race? Indicate one or more races that you consider yourself to be. Hispanic or Latino
raceacs3,american indian or alaska native,What is your race? Indicate one or more races that you consider yourself to be. American Indian or Alaska Native
raceacs5,chinese,What is your race? Indicate one or more races that you consider yourself to be. Chinese
raceacs7,japanese,What is your race? Indicate one or more races that you consider yourself to be. Japanese
raceacs9,vietnamese,What is your race? Indicate one or more races that you consider yourself to be. Vietnamese
raclive,any opp. race in neighborhood,"Are there any (“whites” for black respondents, “Black people” for non-black respondents) living in this neighborhood now?"
racopen,vote on open housing law,"Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide whom to sell his house to, even if that homeowner prefers not to sell to someone because of their race or color. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?"
racwork,racial makeup of workplace,"Are the people who work where you work all white, mostly white, about half and half, mostly black, or all black?"
radioact,SCI KNOWLEDGE: ALLRADIOACTIVITY IS MAN-MADE,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. B. All radioactivity is man-made. (Is that true or false?)"
rank,r's self ranking of social position,In our society there are groups which tend to be towards the top and those that are towards the bottom. Here we have a scale that runs from top to bottom. A. Where would you put yourself on this scale? HAND SCALE AND PENCIL TO RESPONDENT. LET RESPONDENT MARK SCALE. Be sure that the mark is within one of the boxes. Record answer below.
ratetone,r's facial coloring by interviewer,INTERVIEWER: PLEASE RECORD THE COLOR FROM THE COLOR CARD THAT MOST CLOSELY CORRESPONDS TO THE RESPONDENT’S FACIAL COLORING.
reborn,has r ever had a 'born again' experience,"Would you say you have been ""born again"" or have had a ""born again"" experience -- that is, a turning point in your life when you committed yourself to Christ?"
recycle,recycle cans bottles,A. How often do you make a special effort to sort glass or cans or plastic or papers and so on for recycling?
reg16,"region of residence, age 16","In what state or foreign country were you living when you were 16 years old? As of 2024, REG16 has been recoded to only account for four categories. This has been retroactively applied to all previous years of REG16. The original REG16 containing data from 1972 to 2022 has been renamed REG16_7222."
region,region of interview,"REGION OF INTERVIEW As of 2024, REGION has been recoded to only account for four categories. This has been retroactively applied to all previous years of REGION. The original REGION containing data from 1972 to 2022 has been renamed REGION_7222."
relactiv,how often does r take part in relig activities,How often do you take part in the activities and organizations of a church or place of worship other than attending services?
relate1,relationship of 1st person to household head,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 1. Relationship of first person to head of household"
relate10,relationship of 10th person to household head,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 1. Relationship of tenth person to head of household"
